start_offset,end_offset,start_address,end_address,classification,confidence,evidence
0x00000000,0x000000C0,0x08000000,0x080000C0,header,confirmed,validated GBA header
0x000000C0,0x000100C0,0x080000C0,0x080100C0,string pool,strongly_supported,strings=260; pointers=821; validated_compression=0; entropy=4.782; dominant_byte_fraction=0.368
0x000100C0,0x000200C0,0x080100C0,0x080200C0,string pool,strongly_supported,strings=314; pointers=1003; validated_compression=0; entropy=5.780; dominant_byte_fraction=0.184
0x000200C0,0x000300C0,0x080200C0,0x080300C0,string pool,strongly_supported,strings=216; pointers=902; validated_compression=0; entropy=6.008; dominant_byte_fraction=0.208
0x000300C0,0x000400C0,0x080300C0,0x080400C0,string pool,strongly_supported,strings=805; pointers=1349; validated_compression=0; entropy=6.545; dominant_byte_fraction=0.113
0x000400C0,0x000500C0,0x080400C0,0x080500C0,string pool,strongly_supported,strings=480; pointers=1531; validated_compression=0; entropy=6.448; dominant_byte_fraction=0.118
0x000500C0,0x000600C0,0x080500C0,0x080600C0,string pool,strongly_supported,strings=358; pointers=1399; validated_compression=0; entropy=6.432; dominant_byte_fraction=0.115
0x000600C0,0x000700C0,0x080600C0,0x080700C0,string pool,strongly_supported,strings=757; pointers=1180; validated_compression=0; entropy=6.616; dominant_byte_fraction=0.098
0x000700C0,0x000800C0,0x080700C0,0x080800C0,string pool,strongly_supported,strings=237; pointers=7342; validated_compression=0; entropy=6.039; dominant_byte_fraction=0.165
0x000800C0,0x000900C0,0x080800C0,0x080900C0,mixed code/literal pool,candidate,strings=0; pointers=13873; validated_compression=0; entropy=5.578; dominant_byte_fraction=0.250
0x000900C0,0x000A00C0,0x080900C0,0x080A00C0,mixed code/literal pool,candidate,strings=5; pointers=5031; validated_compression=0; entropy=3.857; dominant_byte_fraction=0.549
0x000A00C0,0x000B00C0,0x080A00C0,0x080B00C0,mixed code/literal pool,candidate,strings=0; pointers=2169; validated_compression=0; entropy=3.185; dominant_byte_fraction=0.634
0x000B00C0,0x000C00C0,0x080B00C0,0x080C00C0,compressed data candidate,strongly_supported,strings=311; pointers=2166; validated_compression=16; entropy=4.894; dominant_byte_fraction=0.452
0x000C00C0,0x000D00C0,0x080C00C0,0x080D00C0,compressed data candidate,strongly_supported,strings=909; pointers=484; validated_compression=41; entropy=6.817; dominant_byte_fraction=0.131
0x000D00C0,0x000E00C0,0x080D00C0,0x080E00C0,compressed data candidate,strongly_supported,strings=790; pointers=360; validated_compression=10; entropy=5.259; dominant_byte_fraction=0.222
0x000E00C0,0x000F00C0,0x080E00C0,0x080F00C0,string pool,strongly_supported,strings=401; pointers=546; validated_compression=0; entropy=3.208; dominant_byte_fraction=0.303
0x000F00C0,0x001000C0,0x080F00C0,0x081000C0,string pool,strongly_supported,strings=1330; pointers=236; validated_compression=0; entropy=3.102; dominant_byte_fraction=0.447
0x001000C0,0x001100C0,0x081000C0,0x081100C0,string pool,strongly_supported,strings=1396; pointers=59; validated_compression=0; entropy=2.962; dominant_byte_fraction=0.538
0x001100C0,0x001200C0,0x081100C0,0x081200C0,string pool,strongly_supported,strings=1088; pointers=130; validated_compression=0; entropy=4.312; dominant_byte_fraction=0.372
0x001200C0,0x001300C0,0x081200C0,0x081300C0,compressed data candidate,strongly_supported,strings=1591; pointers=38; validated_compression=6; entropy=6.199; dominant_byte_fraction=0.217
0x001300C0,0x001400C0,0x081300C0,0x081400C0,string pool,strongly_supported,strings=2930; pointers=7; validated_compression=0; entropy=6.829; dominant_byte_fraction=0.038
0x001400C0,0x001500C0,0x081400C0,0x081500C0,string pool,strongly_supported,strings=1705; pointers=13; validated_compression=0; entropy=6.803; dominant_byte_fraction=0.063
0x001500C0,0x001600C0,0x081500C0,0x081600C0,string pool,strongly_supported,strings=1551; pointers=23; validated_compression=0; entropy=7.265; dominant_byte_fraction=0.020
0x001600C0,0x001700C0,0x081600C0,0x081700C0,string pool,strongly_supported,strings=3375; pointers=11; validated_compression=0; entropy=6.823; dominant_byte_fraction=0.032
0x001700C0,0x001800C0,0x081700C0,0x081800C0,string pool,strongly_supported,strings=2765; pointers=13; validated_compression=0; entropy=6.914; dominant_byte_fraction=0.028
0x001800C0,0x001900C0,0x081800C0,0x081900C0,string pool,strongly_supported,strings=2606; pointers=28; validated_compression=0; entropy=7.162; dominant_byte_fraction=0.023
0x001900C0,0x001A00C0,0x081900C0,0x081A00C0,string pool,strongly_supported,strings=1466; pointers=58; validated_compression=0; entropy=7.257; dominant_byte_fraction=0.019
0x001A00C0,0x001B00C0,0x081A00C0,0x081B00C0,string pool,strongly_supported,strings=1116; pointers=71; validated_compression=0; entropy=7.125; dominant_byte_fraction=0.026
0x001B00C0,0x001C00C0,0x081B00C0,0x081C00C0,string pool,strongly_supported,strings=1061; pointers=65; validated_compression=0; entropy=7.193; dominant_byte_fraction=0.019
0x001C00C0,0x001D00C0,0x081C00C0,0x081D00C0,string pool,strongly_supported,strings=971; pointers=52; validated_compression=0; entropy=7.103; dominant_byte_fraction=0.052
0x001D00C0,0x001E00C0,0x081D00C0,0x081E00C0,string pool,strongly_supported,strings=1010; pointers=61; validated_compression=0; entropy=7.143; dominant_byte_fraction=0.022
