runtime_address,label,confidence
0x08044A8C,save_system_init_load,strongly_supported
0x08044D2C,write_header_3_blocks,strongly_supported
0x08044D8C,payload_additive_checksum,confirmed
0x08044DAC,save_transaction,strongly_supported
0x08044E54,prepare_payload,strongly_supported
0x08044EA0,construct_header,strongly_supported
0x08044EE8,clear_header,strongly_supported
0x08044F14,write_payload,strongly_supported
0x08044F64,invalidate_header,strongly_supported
0x08044FB0,read_payload,strongly_supported
0x0804504C,load_validate,strongly_supported
0x080450B4,test_magic,confirmed
0x080450E4,validate_payload,strongly_supported
0x08045128,activate_loaded_save,candidate
0x08045178,header_pointer_accessor,candidate
0x08045198,runtime_to_save,strongly_supported
0x08045590,save_to_runtime,strongly_supported
0x080674BC,configure,strongly_supported
0x08067584,read_dword,strongly_supported
0x08067634,program_wrapper,strongly_supported
0x08067648,program_extended,strongly_supported
0x080677A8,verify,strongly_supported
0x08067800,program_verify_retry,strongly_supported
