category,local_id,source_offset,runtime_address,display_name,confidence
spin-gears,0,0x0007AF0C,0x0807AF0C,Normal,confirmed
spin-gears,1,0x0007AF10,0x0807AF10,Neo,confirmed
spin-gears,2,0x0007AF14,0x0807AF14,Engine Gear,confirmed
spin-gears,3,0x0007AF18,0x0807AF18,South,confirmed
spin-gears,4,0x0007AF1C,0x0807AF1C,Metal Flat,confirmed
spin-gears,5,0x0007AF20,0x0807AF20,Grip Flat Core,confirmed
spin-gears,6,0x0007AF24,0x0807AF24,Metal Semi Flat,confirmed
spin-gears,7,0x0007AF28,0x0807AF28,Heavy Metal,confirmed
spin-gears,8,0x0007AF2C,0x0807AF2C,Semi Flat,confirmed
spin-gears,9,0x0007AF30,0x0807AF30,Sharp Core,confirmed
spin-gears,10,0x0007AF34,0x0807AF34,Gyro EG,confirmed
spin-gears,11,0x0007AF38,0x0807AF38,Circle Defenser,confirmed
spin-gears,12,0x0007AF3C,0x0807AF3C,EG Free Shaft,confirmed
spin-gears,13,0x0007AF40,0x0807AF40,EG Circle Survivor,confirmed
spin-gears,14,0x0007AF44,0x0807AF44,EG Reverse,confirmed
spin-gears,15,0x0007AF48,0x0807AF48,Flat Core,confirmed
spin-gears,16,0x0007AF4C,0x0807AF4C,Semi Flat Core,confirmed
spin-gears,17,0x0007AF50,0x0807AF50,Full Auto Clutch,confirmed
spin-gears,18,0x0007AF54,0x0807AF54,Metal Sharp Core,confirmed
spin-gears,19,0x0007AF58,0x0807AF58,Manual Change Core,confirmed
spin-gears,20,0x0007AF5C,0x0807AF5C,EG Metal Ball,confirmed
spin-gears,21,0x0007AF60,0x0807AF60,SG Metal Weight,confirmed
attack-rings,0,0x0007B0D8,0x0807B0D8,Cross Dragon,confirmed
attack-rings,1,0x0007B0DC,0x0807B0DC,Tricutter,confirmed
attack-rings,2,0x0007B0E0,0x0807B0E0,Wing Cross,confirmed
attack-rings,3,0x0007B0E4,0x0807B0E4,Down Force Ring,confirmed
attack-rings,4,0x0007B0E8,0x0807B0E8,Upper Force Ring,confirmed
attack-rings,5,0x0007B0EC,0x0807B0EC,Dragon Head,confirmed
attack-rings,6,0x0007B0F0,0x0807B0F0,Scissor Cutter,confirmed
attack-rings,7,0x0007B0F4,0x0807B0F4,Bound Attack Ring,confirmed
attack-rings,8,0x0007B0F8,0x0807B0F8,Bound Defense Ring,confirmed
attack-rings,9,0x0007B0FC,0x0807B0FC,Roller Attack Ring,confirmed
attack-rings,10,0x0007B100,0x0807B100,Roller Defense Ring,confirmed
attack-rings,11,0x0007B104,0x0807B104,Wing Cutter,confirmed
attack-rings,12,0x0007B108,0x0807B108,Wing Attack Ring,confirmed
attack-rings,13,0x0007B10C,0x0807B10C,Wing Defense Ring,confirmed
attack-rings,14,0x0007B110,0x0807B110,Max Shield,confirmed
attack-rings,15,0x0007B114,0x0807B114,Reverse Dragon,confirmed
attack-rings,16,0x0007B118,0x0807B118,Tiger Defender,confirmed
attack-rings,17,0x0007B11C,0x0807B11C,Star Shape,confirmed
attack-rings,18,0x0007B120,0x0807B120,Knight Crow's Ring,confirmed
attack-rings,19,0x0007B124,0x0807B124,Turtle Survivor,confirmed
attack-rings,20,0x0007B128,0x0807B128,Upper Dragoon,confirmed
attack-rings,21,0x0007B12C,0x0807B12C,Double Wing,confirmed
attack-rings,22,0x0007B130,0x0807B130,Roaring Lion,confirmed
attack-rings,23,0x0007B134,0x0807B134,Roaring Bear,confirmed
attack-rings,24,0x0007B138,0x0807B138,Roaring Monkey,confirmed
attack-rings,25,0x0007B13C,0x0807B13C,Reverse Wolf,confirmed
attack-rings,26,0x0007B140,0x0807B140,Whale Attacker,confirmed
attack-rings,27,0x0007B144,0x0807B144,Cross Spike,confirmed
attack-rings,28,0x0007B148,0x0807B148,Triple Wing,confirmed
attack-rings,29,0x0007B14C,0x0807B14C,Flying Defender,confirmed
attack-rings,30,0x0007B150,0x0807B150,Cross Fang,confirmed
attack-rings,31,0x0007B154,0x0807B154,Dual Dragon,confirmed
attack-rings,32,0x0007B158,0x0807B158,Flame Wing,confirmed
attack-rings,33,0x0007B15C,0x0807B15C,Cross Griffon,confirmed
attack-rings,34,0x0007B160,0x0807B160,Smash Turtle,confirmed
attack-rings,35,0x0007B164,0x0807B164,Eight Spikes,confirmed
attack-rings,36,0x0007B168,0x0807B168,Double Snake,confirmed
attack-rings,37,0x0007B16C,0x0807B16C,Upper Wolf,confirmed
attack-rings,38,0x0007B170,0x0807B170,Eight Attackers,confirmed
attack-rings,39,0x0007B174,0x0807B174,Panther Claw,confirmed
